year,variable,Electric furnace,Gas furnace,Heat pump,Oil furnace,Wood or wood pellets furnace
2000,specific_fom_cost,3.17,4.16,27.69,8.26,26.74
2000,specific_cost,81.81,211.3,599.94,167.97,478.66
2005,specific_fom_cost,3.17,3.85,19.26,6.6,26.74
2005,specific_cost,81.81,192.61,561.79,178.86,478.66
2010,specific_fom_cost,3.17,3.85,19.26,6.6,26.74
2010,specific_cost,81.81,192.61,556.17,178.86,478.66
2015,specific_fom_cost,3.17,3.23,2.4,3.29,26.74
2015,specific_cost,81.81,155.24,485.48,200.62,478.66
2020,specific_fom_cost,3.17,3.23,2.4,3.29,26.74
2020,specific_cost,81.81,155.24,576.88,200.62,389.83
2000,fuel,Electricity,Natural gas,Electricity,Heating oil,Wood or wood pellets
2005,fuel,Electricity,Natural gas,Electricity,Heating oil,Wood or wood pellets
2010,fuel,Electricity,Natural gas,Electricity,Heating oil,Wood or wood pellets
2015,fuel,Electricity,Natural gas,Electricity,Heating oil,Wood or wood pellets
2020,fuel,Electricity,Natural gas,Electricity,Heating oil,Wood or wood pellets
2000,specific_fuel_emission,0.27,0.2,0.27,0.5,0.15
2005,specific_fuel_emission,0.21,0.2,0.21,0.5,0.15
2010,specific_fuel_emission,0.13,0.2,0.13,0.5,0.15
2015,specific_fuel_emission,0.03,0.2,0.03,0.5,0.15
2020,specific_fuel_emission,0.02,0.2,0.02,0.5,0.15
2000,efficiency,1.0,0.9,3.0,0.9,0.8
2005,efficiency,1.0,0.9,3.0,0.9,0.8
2010,efficiency,1.0,0.9,3.0,0.9,0.8
2015,efficiency,1.0,0.9,3.0,0.9,0.8
2020,efficiency,1.0,0.9,3.0,0.9,0.8
2000,lifetime,20,20,20,30,20
2005,lifetime,20,20,20,30,20
2010,lifetime,20,20,20,30,20
2015,lifetime,20,20,20,30,20
2020,lifetime,20,20,20,30,20
